KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,3/21/2019 9:06,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,-0.21,-0.86,628.8,45.946,611.3,65.1,65.1,5.2,-104.2,65.171,0.3,613,-1.91,-5.35,398,1.98,48,NA,-606.6,26.181,46.004,4.97,0
,,,STANDARD DEVIATION:,0.36,1.44,196,33.73,190.2,35.8,35.8,2.81,29.3,47.859,0.09,190.7,0.73,2.05,124,8.56,154,NaN,0,1.46,33.733,0.02,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,15C104484,15C104484,15C104434,15D101235,15C104434,15C105023,15C105023,15C105023,15D101913,15D101235,15C104434,15C104434,15C104484,15C104484,15C104434,15E100285,15E100285,15D101913,15D101913,15C104434,15D101235,15D101940,15D101940
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V
3/21/2019,11:36:31,0,Default Site,0.41,1.62,6.4,-1.067,6.5,97.7,97.7,8.21,-20.4,-1.513,0,6.5,0.2,0.57,4,30.28,579,NaN,-606.6,24.095,-1.066,4.9,0
3/21/2019,11:36:33,0,Default Site,0.37,1.47,6.4,-1.067,6.5,97.7,97.7,8.21,-20.7,-1.513,0,6.5,0.26,0.72,4,28.77,523,NaN,-606.6,24.107,-1.067,4.9,0
3/21/2019,11:36:35,0,Default Site,0.41,1.63,6.4,-1.066,6.5,97.6,97.6,8.2,-20.8,-1.512,0,6.5,0.26,0.72,4,28.6,517,NaN,-606.6,24.105,-1.066,4.9,0
3/21/2019,11:36:37,0,Default Site,0.42,1.67,6.4,-1.065,6.5,97.5,97.5,8.2,-20.8,-1.51,0,6.5,0.2,0.57,4,27.89,492,NaN,-606.6,24.061,-1.064,4.9,0
3/21/2019,11:36:39,0,Default Site,0.38,1.51,6.5,-1.066,6.6,97.8,97.8,8.22,-21.2,-1.511,0,6.6,0.29,0.81,4,28.34,508,NaN,-606.6,24.044,-1.066,4.9,0
3/21/2019,11:36:41,0,Default Site,0.35,1.4,6.4,-1.066,6.5,97.8,97.8,8.23,-21.1,-1.511,0,6.5,0.22,0.62,4,28.08,498,NaN,-606.6,24.055,-1.065,4.94,0
3/21/2019,11:36:43,0,Default Site,0.38,1.53,6.4,-1.065,6.5,97.8,97.8,8.22,-21.2,-1.511,0,6.5,0.16,0.45,4,28.66,519,NaN,-606.6,24.08,-1.064,4.94,0
3/21/2019,11:36:45,0,Default Site,0.57,2.28,6.4,-1.066,6.5,97.8,97.8,8.22,-21.6,-1.512,0,6.5,1.09,3.06,4,28.64,518,NaN,-606.6,24.087,-1.066,4.94,0
3/21/2019,11:36:47,0,Default Site,1.01,4.02,6.3,-1.066,6.4,97.8,97.8,8.22,-21,-1.511,0,6.4,0.53,1.49,4,28.56,516,NaN,-606.6,24.067,-1.064,4.94,0
3/21/2019,11:36:49,0,Default Site,0.43,1.71,7.3,-1.065,7.4,97.9,97.9,8.23,-21,-1.51,0,7.4,0.27,0.75,5,29.25,540,NaN,-606.6,24.105,-1.065,4.94,0
3/21/2019,11:36:51,0,Default Site,0.37,1.48,7.5,-1.066,7.6,98.1,98.1,8.23,-21.4,-1.511,0,7.6,0.26,0.72,5,30.29,579,NaN,-606.6,24.242,-1.065,4.92,0
3/21/2019,11:36:53,0,Default Site,0.38,1.53,7.4,-1.065,7.6,97.9,97.9,8.2,-21.3,-1.511,0,7.5,0.3,0.85,5,29.72,558,NaN,-606.6,24.271,-1.065,4.92,0
3/21/2019,11:36:55,0,Default Site,0.35,1.39,7.2,-1.064,7.4,97.8,97.8,8.19,-21.8,-1.509,0,7.3,0.28,0.79,5,29.63,554,NaN,-606.6,24.277,-1.065,4.92,0
3/21/2019,11:36:57,0,Default Site,0.47,1.9,7.2,-1.065,7.3,97.8,97.8,8.19,-22,-1.51,0,7.3,0.28,0.79,5,29.57,552,NaN,-606.6,24.319,-1.064,4.92,0
