KOR Export File,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
File Created:12/15/2015 12:37:45 PM,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sonde ID,Sonde 15D101940,,,,,,,,,,,,,,,,,,,,,,,
User ID,profile,,,,,,,,,,,,,,,,,,,,,,,
Site,site_051915_124203,,,,,,,,,,,,,,,,,,,,,,,
Template,LTK_15D100070_121515_090525,,,,,,,,,,,,,,,,,,,,,,,
Averaging Mode,Default,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,(UTC+03:00) Nairobi,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Devices List:,,,,,,,,,,,,,,,,,,,,,,,,
Name,SN,Firmware,Corresponding Data Column(s),,,,,,,,,,,,,,,,,,,,,
Data Collection Device,,,1;2;3;4;5,,,,,,,,,,,,,,,,,,,,,
EXO2 Sonde,15D101940,1.0.12,6;7,,,,,,,,,,,,,,,,,,,,,
pH/ORP,15D101913,3.0.0,8;9;10;11,,,,,,,,,,,,,,,,,,,,,
Total Algae BGA-PC,15C104484,3.0.0,12;13;14;15,,,,,,,,,,,,,,,,,,,,,
Conductivity/Temp,15C104434,3.0.0,16;17;18;19;20;21,,,,,,,,,,,,,,,,,,,,,
Optical DO,15C105023,3.0.0,22;23,,,,,,,,,,,,,,,,,,,,,
Depth Non-Vented 0-100m,15D101235,3.0.0,24;25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,pH,pH mV,ORP mV,ORP raw mV,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,ODO % sat,ODO mg/L,Press psi a,Depth m
12/15/2015,12:11:29,0,site_051915_124203,0,5.6,0,8.98,-114.7,11.5,11.5,0.33,1.3,0.97,2.72,26.645,4.2,4.1,0,4.1,3,89.9,7.21,-1.335,-0.942
12/15/2015,12:11:31,0,site_051915_124203,0,5.6,0,8.98,-114.7,11.4,11.4,0.34,1.35,0.95,2.66,26.645,4.2,4.1,0,4.1,3,89.9,7.21,-1.335,-0.942
12/15/2015,12:11:33,0,site_051915_124203,0,5.6,0,8.98,-114.7,11.2,11.2,0.33,1.32,0.92,2.57,26.645,4.2,4.1,0,4.1,3,89.9,7.21,-1.335,-0.942
12/15/2015,12:11:35,0,site_051915_124203,0,5.6,0,8.98,-114.7,11.1,11.1,0.33,1.31,0.91,2.55,26.646,4.2,4.1,0,4.1,3,89.9,7.21,-1.335,-0.942
12/15/2015,12:11:37,0,site_051915_124203,0,5.5,0,8.98,-114.7,11,11,0.3,1.2,0.88,2.46,26.647,4.2,4.1,0,4.1,3,89.9,7.21,-1.335,-0.942
12/15/2015,12:11:39,0,site_051915_124203,0,5.5,0,8.98,-114.7,11,11,0.31,1.24,0.86,2.41,26.648,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:41,0,site_051915_124203,0,5.5,0,8.98,-114.7,10.9,10.9,0.3,1.21,0.85,2.37,26.649,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:43,0,site_051915_124203,0,5.5,0,8.98,-114.7,10.9,10.9,0.3,1.21,0.85,2.39,26.65,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:45,0,site_051915_124203,0,5.5,0,8.98,-114.7,10.8,10.8,0.32,1.27,0.82,2.3,26.652,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:47,0,site_051915_124203,0,5.5,0,8.98,-114.7,10.7,10.7,0.31,1.23,0.82,2.31,26.653,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:49,0,site_051915_124203,0,5.5,0,8.98,-114.6,10.6,10.6,0.32,1.3,0.82,2.3,26.655,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:51,0,site_051915_124203,0,5.5,0,8.98,-114.6,10.5,10.5,0.32,1.29,0.83,2.34,26.656,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:53,0,site_051915_124203,0,5.5,0,8.98,-114.6,10.4,10.4,0.31,1.26,0.83,2.33,26.657,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:55,0,site_051915_124203,0,5.5,0,8.98,-114.6,10.4,10.4,0.32,1.27,0.82,2.28,26.659,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:57,0,site_051915_124203,0,5.7,0,8.98,-114.6,10.3,10.3,0.31,1.25,0.82,2.31,26.66,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:11:59,0,site_051915_124203,0,5.7,0,8.98,-114.6,10.3,10.3,0.3,1.2,0.82,2.3,26.662,4.2,4.1,0,4.1,3,89.9,7.21,-1.334,-0.941
12/15/2015,12:12:01,0,site_051915_124203,0,5.7,0,8.98,-114.5,10.2,10.2,0.3,1.22,0.79,2.21,26.663,4.2,4.1,0,4.1,3,89.9,7.21,-1.333,-0.941
12/15/2015,12:12:03,0,site_051915_124203,0,5.7,0,8.98,-114.5,10.2,10.2,0.31,1.26,0.79,2.21,26.664,4.2,4.1,0,4.1,3,89.9,7.21,-1.333,-0.941
12/15/2015,12:12:05,0,site_051915_124203,0,5.7,0,8.98,-114.5,10,10,0.31,1.25,0.78,2.19,26.665,4.2,4.1,0,4.1,3,89.9,7.21,-1.333,-0.941
12/15/2015,12:12:07,0,site_051915_124203,0,5.6,0,8.98,-114.5,9.9,9.9,0.29,1.16,0.74,2.08,26.667,4.2,4.1,0,4.1,3,89.9,7.21,-1.333,-0.941
12/15/2015,12:12:09,0,site_051915_124203,0,5.6,0,8.98,-114.5,9.9,9.9,0.32,1.26,0.69,1.94,26.668,4.2,4.1,0,4.1,3,89.9,7.21,-1.333,-0.94
12/15/2015,12:12:11,0,site_051915_124203,0,5.6,0,8.98,-114.4,9.8,9.8,0.31,1.22,0.64,1.79,26.67,4.2,4.1,0,4.1,3,89.9,7.21,-1.333,-0.94
12/15/2015,12:12:13,0,site_051915_124203,0,5.6,0,8.98,-114.4,9.7,9.7,0.3,1.21,0.6,1.68,26.673,4.2,4.1,0,4.1,3,89.9,7.21,-1.333,-0.94
12/15/2015,12:12:15,0,site_051915_124203,0,5.6,0,8.98,-114.3,9.6,9.6,0.29,1.16,0.55,1.53,26.676,4.2,4.1,0,4.1,3,89.9,7.21,-1.333,-0.94
12/15/2015,12:12:17,0,site_051915_124203,0,5.6,0,8.98,-114.2,9.5,9.5,0.28,1.14,0.5,1.39,26.679,4.2,4.1,0,4.1,3,89.9,7.21,-1.333,-0.94
12/15/2015,12:12:19,0,site_051915_124203,0,5.6,0,8.97,-114.2,9.3,9.3,0.3,1.19,0.44,1.23,26.682,4.2,4.1,0,4.1,3,89.9,7.21,-1.332,-0.94
12/15/2015,12:12:21,0,site_051915_124203,0,5.6,0,8.97,-114.1,9.2,9.2,0.31,1.22,0.37,1.04,26.686,4.2,4.1,0,4.1,3,89.9,7.21,-1.332,-0.94
12/15/2015,12:12:23,0,site_051915_124203,0,5.6,0,8.97,-114.1,9.1,9.1,0.29,1.18,0.31,0.88,26.689,4.2,4.1,0,4.1,3,89.9,7.21,-1.332,-0.94
12/15/2015,12:12:25,0,site_051915_124203,0,5.6,0,8.97,-114,9,9,0.3,1.18,0.26,0.74,26.693,4.2,4.1,0,4.1,3,89.9,7.21,-1.332,-0.94
12/15/2015,12:12:27,0,site_051915_124203,0,5.6,0,8.97,-113.9,8.9,8.9,0.29,1.16,0.23,0.64,26.697,4.2,4.1,0,4.1,3,89.9,7.21,-1.332,-0.94
12/15/2015,12:12:29,0,site_051915_124203,0,5.6,0,8.97,-113.8,8.9,8.9,0.3,1.18,0.21,0.59,26.701,4.2,4.1,0,4.1,3,89.9,7.21,-1.332,-0.94
12/15/2015,12:12:31,0,site_051915_124203,0,5.6,0,8.97,-113.8,8.8,8.8,0.28,1.13,0.18,0.51,26.704,4.2,4.1,0,4.1,3,89.9,7.2,-1.332,-0.94
12/15/2015,12:12:33,0,site_051915_124203,0,5.6,0,8.97,-113.7,8.7,8.7,0.28,1.1,0.17,0.49,26.708,4.2,4.1,0,4.1,3,89.9,7.2,-1.332,-0.94
12/15/2015,12:12:35,0,site_051915_124203,0,5.6,0,8.97,-113.7,8.6,8.6,0.28,1.11,0.17,0.48,26.711,4.2,4.1,0,4.1,3,89.9,7.2,-1.332,-0.94
12/15/2015,12:12:37,0,site_051915_124203,0,5.5,0,8.97,-113.7,8.6,8.6,0.27,1.09,0.18,0.5,26.714,4.3,4.2,0,4.1,3,89.9,7.2,-1.332,-0.94
