KOR Export File,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Created:5/28/2015 1:13:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonde ID,Sonde 15D101940,,,,,,,,,,,,,,,,,,,,,,,,,,
User ID,profile,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,LTK_052815_092159,,,,,,,,,,,,,,,,,,,,,,,,,,
Template,LTK_052815_124114,,,,,,,,,,,,,,,,,,,,,,,,,,
Averaging Mode,Rapid,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,(UTC+03:00) Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices List:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,SN,Firmware,Corresponding Data Column(s),,,,,,,,,,,,,,,,,,,,,,,,
Data Collection Device,,,1;2;3;4;5,,,,,,,,,,,,,,,,,,,,,,,,
EXO2 Sonde,15D101940,1.0.12,6;7,,,,,,,,,,,,,,,,,,,,,,,,
pH/ORP,15D101913,3.0.0,8;9;10;11,,,,,,,,,,,,,,,,,,,,,,,,
Total Algae BGA-PC,15C104484,3.0.0,12;13;14;15,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity/Temp,15C104434,3.0.0,16;17;18;19;20;21,,,,,,,,,,,,,,,,,,,,,,,,
Optical DO,15C105023,3.0.0,22;23,,,,,,,,,,,,,,,,,,,,,,,,
Depth Non-Vented 0-100m,15D101235,3.0.0,24;25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,pH,pH mV,ORP mV,ORP raw mV,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,ODO % sat,ODO mg/L,Press psi a,Depth m,,,
5/28/2015,15:44:00,0,LTK_052815_092159,0,5.7,0,7.88,-50.1,-45.1,-45.1,0.25,1,-0.21,-0.58,29.374,0.1,0.1,0,0.1,0,91.4,6.98,-1.308,-0.923,,,
5/28/2015,15:44:02,0,LTK_052815_092159,0,5.7,0,7.87,-50,-44.8,-44.8,0.29,1.18,-0.3,-0.83,29.352,0.1,0,0,0,0,91.3,6.98,-1.308,-0.924,,,
5/28/2015,15:44:04,0,LTK_052815_092159,0,5.7,0,7.87,-49.9,-44.5,-44.5,0.3,1.21,-0.29,-0.8,29.33,0.1,0.1,0,0.1,0,91.3,6.99,-1.309,-0.924,,,
5/28/2015,15:44:06,0,LTK_052815_092159,0,5.7,0,7.87,-49.9,-44.3,-44.3,0.23,0.9,-0.19,-0.52,29.319,0.1,0.1,0,0.1,0,91.3,6.98,-1.308,-0.924,,,
5/28/2015,15:44:08,0,LTK_052815_092159,0,5.7,0,7.87,-49.8,-44,-44,0.28,1.11,-0.29,-0.83,29.285,0.1,0.1,0,0.1,0,91.3,6.98,-1.309,-0.924,,,
5/28/2015,15:44:10,0,LTK_052815_092159,0,5.7,0,7.87,-49.7,-43.6,-43.6,0.31,1.25,-0.18,-0.49,29.289,0,0,0,0,0,91.3,6.99,-1.308,-0.924,,,
5/28/2015,15:44:12,0,LTK_052815_092159,0,5.7,0,7.87,-49.6,-43.3,-43.3,0.3,1.2,-0.19,-0.54,29.295,0.1,0.1,0,0.1,0,91.3,6.99,-1.309,-0.924,,,
5/28/2015,15:44:14,0,LTK_052815_092159,0,5.7,0,7.87,-49.6,-43,-43,0.2,0.8,-0.23,-0.64,29.307,0.1,0,0,0,0,91.3,6.99,-1.308,-0.924,,,
5/28/2015,15:44:16,0,LTK_052815_092159,0,5.7,0,7.87,-49.6,-42.7,-42.7,0.3,1.2,-0.32,-0.9,29.322,0.1,0,0,0,0,91.4,6.99,-1.308,-0.924,,,
5/28/2015,15:44:18,0,LTK_052815_092159,0,5.6,0,7.87,-49.9,-42.5,-42.5,0.28,1.11,-0.13,-0.37,29.333,0.1,0.1,0,0.1,0,91.4,6.99,-1.309,-0.924,,,
5/28/2015,15:44:20,0,LTK_052815_092159,0,5.6,0,7.87,-50,-42.3,-42.3,0.33,1.32,-0.12,-0.34,29.368,0.1,0.1,0,0.1,0,91.4,6.98,-1.308,-0.923,,,
5/28/2015,15:44:22,0,LTK_052815_092159,0,5.6,0,7.88,-50.2,-42.3,-42.3,0.25,1.01,-0.18,-0.52,29.38,0.1,0.1,0,0.1,0,91.3,6.98,-1.309,-0.924,,,
5/28/2015,15:44:24,0,LTK_052815_092159,0,5.6,0,7.88,-50.3,-42.2,-42.2,0.3,1.19,-0.14,-0.4,29.391,0.1,0.1,0,0.1,0,91.3,6.98,-1.309,-0.924,,,
5/28/2015,15:44:26,0,LTK_052815_092159,0,5.6,0,7.88,-50.4,-42.3,-42.3,0.31,1.25,-0.11,-0.31,29.394,0.1,0.1,0,0.1,0,91.3,6.97,-1.309,-0.924,,,
5/28/2015,15:44:28,0,LTK_052815_092159,0,5.6,0,7.88,-50.6,-42.3,-42.3,0.22,0.87,-0.22,-0.62,29.404,0,0,0,0,0,91.3,6.97,-1.308,-0.923,,,
5/28/2015,15:44:30,0,LTK_052815_092159,0,5.6,0,7.89,-50.7,-42.3,-42.3,0.29,1.16,-0.24,-0.68,29.394,0,0,0,0,0,91.3,6.97,-1.308,-0.924,,,
5/28/2015,15:44:32,0,LTK_052815_092159,0,5.6,0,7.89,-50.8,-42.3,-42.3,0.33,1.31,-0.17,-0.48,29.386,0.1,0.1,0,0,0,91.3,6.98,-1.309,-0.924,,,
5/28/2015,15:44:34,0,LTK_052815_092159,0,5.6,0,7.89,-51,-42.5,-42.5,0.26,1.05,-0.19,-0.52,29.383,0.1,0.1,0,0.1,0,91.3,6.98,-1.309,-0.924,,,
5/28/2015,15:44:36,0,LTK_052815_092159,0,5.6,0,7.89,-51.2,-42.5,-42.5,0.32,1.27,-0.2,-0.57,29.373,0,0,0,0,0,91.3,6.97,-1.309,-0.924,,,
5/28/2015,15:44:38,0,LTK_052815_092159,0,5.4,0,7.9,-51.4,-42.7,-42.7,0.26,1.03,-0.16,-0.46,29.387,0,0,0,0,0,91.3,6.98,-1.308,-0.924,,,
5/28/2015,15:44:40,0,LTK_052815_092159,0,5.4,0,7.9,-51.5,-42.8,-42.8,0.29,1.14,-0.2,-0.55,29.381,0.1,0.1,0,0,0,91.3,6.97,-1.309,-0.924,,,
5/28/2015,15:44:42,0,LTK_052815_092159,0,5.4,0,7.9,-51.7,-42.8,-42.8,0.28,1.12,-0.19,-0.53,29.374,0.1,0.1,0,0,0,91.3,6.98,-1.309,-0.924,,,
5/28/2015,15:44:44,0,LTK_052815_092159,0,5.4,0,7.9,-51.7,-42.7,-42.7,0.27,1.09,-0.19,-0.52,29.357,0.1,0,0,0,0,91.2,6.97,-1.307,-0.923,,,
5/28/2015,15:44:46,0,LTK_052815_092159,0,5.4,0,7.91,-51.9,-42.7,-42.7,0.3,1.2,-0.27,-0.75,29.357,0.1,0.1,0,0,0,91.2,6.97,-1.309,-0.924,,,
5/28/2015,15:44:48,0,LTK_052815_092159,0,5.6,0,7.91,-51.9,-42.8,-42.8,0.3,1.2,-0.14,-0.38,29.359,0,0,0,0,0,91.2,6.97,-1.308,-0.923,,,
5/28/2015,15:44:50,0,LTK_052815_092159,0,5.6,0,7.91,-51.9,-42.8,-42.8,0.25,1.01,-0.24,-0.67,29.337,0.1,0.1,0,0.1,0,91.1,6.97,-1.308,-0.923,,,
5/28/2015,15:44:52,0,LTK_052815_092159,0,5.6,0,7.91,-52,-42.7,-42.7,0.35,1.38,-0.11,-0.3,29.299,0.1,0.1,0,0.1,0,91.1,6.97,-1.309,-0.924,,,
5/28/2015,15:44:54,0,LTK_052815_092159,0,5.6,0,7.91,-52.1,-42.6,-42.6,0.33,1.31,-0.21,-0.59,29.269,0,0,0,0,0,91.2,6.98,-1.309,-0.924,,,
5/28/2015,15:44:56,0,LTK_052815_092159,0,5.6,0,7.91,-52.2,-42.7,-42.7,0.28,1.11,-0.19,-0.53,29.258,0,0,0,0,0,91.2,6.99,-1.308,-0.924,,,
5/28/2015,15:44:58,0,LTK_052815_092159,0,5.7,0,7.91,-52.3,-42.2,-42.2,0.23,0.92,-0.31,-0.87,29.242,0.1,0,0,0,0,91.3,6.99,-1.308,-0.924,,,
5/28/2015,15:45:00,0,LTK_052815_092159,0,5.7,0,7.91,-52.2,-41.6,-41.6,0.25,1,-0.2,-0.57,29.193,0,0,0,0,0,91.2,6.99,-1.309,-0.924,,,
5/28/2015,15:45:02,0,LTK_052815_092159,0,5.7,0,7.91,-52.3,-41.4,-41.4,0.31,1.23,-0.23,-0.65,29.19,0.1,0.1,0,0.1,0,91.3,7,-1.309,-0.924,,,
