KOR Export File,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
File Created:6/28/2016 12:04:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonde ID,Sonde 15D101940,,,,,,,,,,,,,,,,,,,,,,,,,
User ID,profile,,,,,,,,,,,,,,,,,,,,,,,,,
Site,LTK,,,,,,,,,,,,,,,,,,,,,,,,,
Template,LTK,,,,,,,,,,,,,,,,,,,,,,,,,
Averaging Mode,Rapid,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,(UTC+03:00) Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices List:,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,SN,Firmware,Corresponding Data Column(s),,,,,,,,,,,,,,,,,,,,,,,
Data Collection Device,,,1;2;3;4;5,,,,,,,,,,,,,,,,,,,,,,,
EXO2 Sonde,15D101940,1.0.12,6;7,,,,,,,,,,,,,,,,,,,,,,,
pH/ORP,15D101913,3.0.0,8;9;10;11,,,,,,,,,,,,,,,,,,,,,,,
Total Algae BGA-PC,15C104484,3.0.0,12;13;14;15,,,,,,,,,,,,,,,,,,,,,,,
Conductivity/Temp,15C104434,3.0.0,16;17;18;19;20;21,,,,,,,,,,,,,,,,,,,,,,,
Optical DO,15C105023,3.0.0,22;23,,,,,,,,,,,,,,,,,,,,,,,
Turbidity,15E100285,3.0.0,24;25,,,,,,,,,,,,,,,,,,,,,,,
Depth Non-Vented 0-100m,15D101235,3.0.0,26;27,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,pH,pH mV,ORP mV,ORP raw mV,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,ODO % sat,ODO mg/L,Turbidity FNU,TSS mg/L,Press psi a,Depth m
6/28/2016,11:56:30,0,LTK,0,5.6,0,7.71,-79.1,-14.9,-14.9,3.67,14.67,1.93,5.39,22.397,8.4,8.8,0,8.8,6,99.1,8.6,18.82,227,-1.299,-0.915
6/28/2016,11:56:31,0,LTK,0,5.6,0,7.69,-77.9,-14,-14,5.13,20.53,1.49,4.17,22.406,8.2,8.7,0,8.7,6,99.3,8.62,18.89,229,-1.3,-0.916
6/28/2016,11:56:33,0,LTK,0,5.6,0,7.77,-82.3,-14.4,-14.4,8.06,32.26,5.33,14.92,22.42,8.2,8.6,0,8.7,6,99.4,8.62,18.69,224,-1.3,-0.916
6/28/2016,11:56:35,0,LTK,0,5.6,0,7.56,-70.9,-12.2,-12.2,4.85,19.4,3.51,9.84,22.435,8.1,8.5,0,8.5,6,99.1,8.6,18.76,225,-1.3,-0.916
6/28/2016,11:56:37,0,LTK,0,5.6,0,7.58,-71.8,-12.3,-12.3,4.68,18.73,2.35,6.57,22.45,8,8.4,0,8.4,5,99,8.58,18.98,231,-1.3,-0.916
6/28/2016,11:56:39,0,LTK,0,5.6,0,7.62,-74.2,-12.9,-12.9,7.83,31.32,6.04,16.92,22.458,7.8,8.2,0,8.3,5,99.3,8.6,18.92,229,-1.3,-0.916
6/28/2016,11:56:41,0,LTK,0,5.6,0,7.65,-75.5,-12.7,-12.7,6.18,24.71,7.88,22.05,22.456,7.8,8.2,0,8.2,5,99.1,8.59,18.79,226,-1.3,-0.916
6/28/2016,11:56:43,0,LTK,0,5.6,0,7.35,-59.6,-12.6,-12.6,2.53,10.12,5.93,16.61,22.426,7.7,8.1,0,8.1,5,98.8,8.57,18.74,225,-1.299,-0.916
6/28/2016,11:56:45,0,LTK,0,5.6,0,7.63,-74.7,-12.8,-12.8,3.18,12.71,0.57,1.61,22.41,7.6,7.9,0,8,5,99,8.59,18.79,226,-1.299,-0.915
6/28/2016,11:56:47,0,LTK,0,5.6,0,8.5,-122.2,-92.4,-92.4,4.35,17.4,2.09,5.84,22.431,7.7,8.1,0,8.2,5,112.1,9.73,-0.53,0,-1.301,-0.917
6/28/2016,11:56:49,0,LTK,0,5.6,0,8.72,-135.3,-91,-91,-0.34,-1.35,-2.02,-5.66,26.61,681.5,661.3,0.32,659.1,430,104.4,8.38,-0.75,0,-1.219,-0.859
6/28/2016,11:56:51,0,LTK,0,5.6,0,8.79,-138.8,-88.1,-88.1,-0.29,-1.17,-1.98,-5.53,26.585,700.5,680,0.33,677.8,442,102.9,8.24,-0.63,0,-0.801,-0.565
6/28/2016,11:56:53,0,LTK,0,5.6,0,8.83,-141.3,-86.2,-86.2,-0.27,-1.08,-2.06,-5.76,26.621,693.5,672.7,0.33,670.5,437,101.9,8.17,-0.72,0,-0.566,-0.399
6/28/2016,11:56:55,0,LTK,0,5.6,0,8.86,-142.8,-85,-85,-0.31,-1.23,-2.08,-5.82,26.629,692.8,671.9,0.32,669.7,437,101.1,8.09,-0.82,0,-0.646,-0.455
6/28/2016,11:56:57,0,LTK,0,5.6,0,8.87,-143.5,-84,-84,-0.26,-1.05,-2.12,-5.92,26.631,692.7,671.8,0.32,669.6,437,100.5,8.05,-0.88,0,-0.633,-0.447
6/28/2016,11:56:59,0,LTK,0,5.6,0,8.88,-144.2,-83.3,-83.3,-0.3,-1.19,-2.02,-5.64,26.636,692.7,671.7,0.32,669.5,437,100.1,8.01,-0.67,0,-0.632,-0.446
6/28/2016,11:57:01,0,LTK,0,5.6,0,8.89,-144.7,-82.9,-82.9,-0.3,-1.22,-2,-5.6,26.639,692.4,671.4,0.32,669.2,436,99.8,7.99,-0.79,0,-0.545,-0.384
6/28/2016,11:57:03,0,LTK,0,5.6,0,8.9,-145.2,-82.6,-82.6,-0.33,-1.31,-2.13,-5.96,26.639,692.6,671.6,0.32,669.4,437,99.6,7.98,-0.78,0,-0.622,-0.438
6/28/2016,11:57:05,0,LTK,0,5.6,0,8.91,-145.5,-82.4,-82.4,-0.33,-1.31,-2.11,-5.9,26.643,692.5,671.4,0.32,669.2,436,99.5,7.96,-0.82,0,-0.606,-0.428
6/28/2016,11:57:07,0,LTK,0,5.6,0,8.91,-145.7,-82.3,-82.3,-0.32,-1.26,-2.13,-5.98,26.641,692.5,671.5,0.32,669.2,436,99.4,7.96,-0.73,0,-0.625,-0.441
6/28/2016,11:57:09,0,LTK,0,5.6,0,8.91,-145.9,-82.3,-82.3,-0.34,-1.37,-2,-5.6,26.644,692.6,671.5,0.32,669.3,436,99.3,7.95,-0.79,0,-0.569,-0.401
6/28/2016,11:57:11,0,LTK,0,5.6,0,8.92,-146.4,-82.3,-82.3,-0.28,-1.13,-2.02,-5.67,26.648,692.9,671.8,0.32,669.6,437,99.2,7.94,-0.84,0,-0.533,-0.376
6/28/2016,11:57:13,0,LTK,0,5.6,0,8.93,-146.6,-82.3,-82.3,-0.3,-1.21,-2.09,-5.85,26.649,692.7,671.5,0.32,669.3,436,99.1,7.93,-0.83,0,-0.642,-0.453
6/28/2016,11:57:15,0,LTK,0,5.6,0,8.93,-146.7,-82.3,-82.3,-0.28,-1.11,-2.07,-5.79,26.65,692.9,671.7,0.32,669.5,437,99.1,7.93,-0.77,0,-0.631,-0.445
6/28/2016,11:57:17,0,LTK,0,5.6,0,8.93,-146.8,-82.3,-82.3,-0.28,-1.1,-2.03,-5.68,26.649,692.5,671.3,0.32,669.1,436,99.1,7.93,-0.78,0,-0.592,-0.418
6/28/2016,11:57:19,0,LTK,0,5.6,0,8.93,-147,-82.4,-82.4,-0.34,-1.38,-2.09,-5.84,26.65,692.6,671.4,0.32,669.2,436,99,7.92,-0.79,0,-0.565,-0.398
6/28/2016,11:57:21,0,LTK,0,5.6,0,8.94,-147.1,-82.5,-82.5,-0.31,-1.22,-1.99,-5.59,26.65,692.9,671.7,0.32,669.5,437,99,7.92,-0.83,0,-0.628,-0.443
6/28/2016,11:57:23,0,LTK,0,5.6,0,8.94,-147.1,-82.5,-82.5,-0.33,-1.33,-2.06,-5.78,26.649,692.7,671.5,0.32,669.3,436,98.9,7.92,-0.73,0,-0.509,-0.359
6/28/2016,11:57:25,0,LTK,0,5.5,0,8.94,-147.2,-82.4,-82.4,-0.3,-1.2,-2.04,-5.72,26.653,692.8,671.6,0.32,669.3,437,98.8,7.91,-0.69,0,1.763,1.244
6/28/2016,11:57:27,0,LTK,0,5.5,0,8.94,-147.3,-82.4,-82.4,-0.3,-1.19,-2.1,-5.87,26.651,692.6,671.4,0.32,669.1,436,98.8,7.91,-0.79,0,1.972,1.391
6/28/2016,11:57:29,0,LTK,0,5.5,0,8.94,-147.4,-82.4,-82.4,-0.35,-1.42,-2.06,-5.78,26.654,692.8,671.6,0.32,669.3,437,98.7,7.9,-0.88,0,2.34,1.651
6/28/2016,11:57:31,0,LTK,0,5.5,0,8.94,-147.4,-82.4,-82.4,-0.3,-1.22,-2.08,-5.81,26.656,692.8,671.6,0.32,669.3,437,98.6,7.89,-0.77,0,4.733,3.339
