KOR Export File,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
File Created:3/4/2016 1:29:48 PM,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sonde ID,Sonde 15D101940,,,,,,,,,,,,,,,,,,,,,,,
User ID,profile,,,,,,,,,,,,,,,,,,,,,,,
Site,LTK,,,,,,,,,,,,,,,,,,,,,,,
Template,LTK_15D100070_01032016_090525XX,,,,,,,,,,,,,,,,,,,,,,,
Averaging Mode,Default,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,(UTC+03:00) Nairobi,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Devices List:,,,,,,,,,,,,,,,,,,,,,,,,
Name,SN,Firmware,Corresponding Data Column(s),,,,,,,,,,,,,,,,,,,,,
Data Collection Device,,,1;2;3;4;5,,,,,,,,,,,,,,,,,,,,,
EXO2 Sonde,15D101940,1.0.12,6;7,,,,,,,,,,,,,,,,,,,,,
pH/ORP,15D101913,3.0.0,8;9;10;11,,,,,,,,,,,,,,,,,,,,,
Total Algae BGA-PC,15C104484,3.0.0,12;13;14;15,,,,,,,,,,,,,,,,,,,,,
Conductivity/Temp,15C104434,3.0.0,16;17;18;19;20;21,,,,,,,,,,,,,,,,,,,,,
Optical DO,15C105023,3.0.0,22;23,,,,,,,,,,,,,,,,,,,,,
Depth Non-Vented 0-100m,15D101235,3.0.0,24;25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,pH,pH mV,ORP mV,ORP raw mV,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,ODO % sat,ODO mg/L,Press psi a,Depth m
3/4/2016,13:15:23,0,LTK,0,5.6,0,9.21,-127.2,1.4,1.4,-0.3,-1.18,-2.18,-6.09,25.097,689.4,688.1,0.33,688,447,7.7,0.63,-1.676,-1.182
3/4/2016,13:15:25,0,LTK,0,5.6,0,9.21,-127.2,1.3,1.3,-0.31,-1.22,-2.17,-6.07,25.097,689.3,688.1,0.33,687.9,447,7.7,0.63,-1.676,-1.182
3/4/2016,13:15:27,0,LTK,0,5.6,0,9.21,-127.2,1.3,1.3,-0.31,-1.26,-2.16,-6.05,25.098,689.4,688.1,0.33,688,447,7.7,0.63,-1.676,-1.181
3/4/2016,13:15:29,0,LTK,0,5.6,0,9.21,-127.2,1.3,1.3,-0.31,-1.24,-2.16,-6.04,25.098,689.4,688.1,0.33,688,447,7.7,0.63,-1.675,-1.181
3/4/2016,13:15:31,0,LTK,0,5.6,0,9.21,-127.2,1.2,1.2,-0.32,-1.27,-2.14,-6,25.099,689.4,688.1,0.33,688,447,7.7,0.63,-1.675,-1.181
3/4/2016,13:15:33,0,LTK,0,5.6,0,9.21,-127.2,1.2,1.2,-0.33,-1.32,-2.14,-5.99,25.1,689.5,688.1,0.33,688,447,7.7,0.63,-1.675,-1.181
3/4/2016,13:15:35,0,LTK,0,5.6,0,9.21,-127.2,1.2,1.2,-0.33,-1.32,-2.12,-5.94,25.102,689.5,688.1,0.33,688,447,7.7,0.63,-1.674,-1.18
3/4/2016,13:15:37,0,LTK,0,5.6,0,9.21,-127.2,1.1,1.1,-0.32,-1.29,-2.12,-5.93,25.102,689.5,688.2,0.33,688.1,447,7.7,0.63,-1.674,-1.18
3/4/2016,13:15:39,0,LTK,0,5.6,0,9.21,-127.2,1.1,1.1,-0.33,-1.31,-2.11,-5.91,25.103,689.6,688.2,0.33,688.1,447,7.7,0.64,-1.674,-1.18
3/4/2016,13:15:41,0,LTK,0,5.6,0,9.21,-127.2,1,1,-0.33,-1.33,-2.1,-5.89,25.104,689.6,688.2,0.33,688.1,447,7.7,0.64,-1.675,-1.181
3/4/2016,13:15:43,0,LTK,0,5.6,0,9.21,-127.2,0.9,0.9,-0.33,-1.31,-2.1,-5.89,25.105,689.6,688.2,0.33,688.1,447,7.7,0.64,-1.675,-1.181
3/4/2016,13:15:45,0,LTK,0,5.6,0,9.21,-127.2,0.9,0.9,-0.33,-1.33,-2.1,-5.89,25.105,689.6,688.2,0.33,688,447,7.7,0.64,-1.675,-1.181
3/4/2016,13:15:47,0,LTK,0,5.6,0,9.21,-127.2,0.8,0.8,-0.33,-1.32,-2.09,-5.86,25.106,689.6,688.2,0.33,688,447,7.7,0.64,-1.675,-1.181
3/4/2016,13:15:49,0,LTK,0,5.6,0,9.21,-127.2,0.7,0.7,-0.33,-1.31,-2.1,-5.88,25.108,689.5,688.1,0.33,688,447,7.7,0.64,-1.675,-1.181
3/4/2016,13:15:51,0,LTK,0,5.6,0,9.21,-127.2,0.7,0.7,-0.33,-1.31,-2.1,-5.88,25.109,689.5,688.1,0.33,688,447,7.7,0.64,-1.675,-1.181
3/4/2016,13:15:53,0,LTK,0,5.6,0,9.21,-127.2,0.6,0.6,-0.3,-1.19,-2.11,-5.9,25.11,689.5,688.1,0.33,687.9,447,7.7,0.64,-1.675,-1.181
3/4/2016,13:15:55,0,LTK,0,5.6,0,9.21,-127.2,0.5,0.5,-0.29,-1.16,-2.11,-5.91,25.111,689.5,688.1,0.33,687.9,447,7.7,0.64,-1.675,-1.181
3/4/2016,13:15:57,0,LTK,0,5.6,0,9.21,-127.2,0.5,0.5,-0.29,-1.16,-2.11,-5.92,25.112,689.6,688.1,0.33,687.9,447,7.7,0.64,-1.675,-1.181
3/4/2016,13:15:59,0,LTK,0,5.6,0,9.21,-127.2,0.4,0.4,-0.28,-1.11,-2.12,-5.94,25.113,689.6,688.1,0.33,687.9,447,7.7,0.64,-1.674,-1.18
3/4/2016,13:16:01,0,LTK,0,5.6,0,9.21,-127.2,0.3,0.3,-0.28,-1.11,-2.12,-5.94,25.114,689.6,688.1,0.33,687.9,447,7.7,0.64,-1.674,-1.18
3/4/2016,13:16:03,0,LTK,0,5.6,0,9.21,-127.2,0.3,0.3,-0.29,-1.15,-2.12,-5.94,25.115,689.6,688.1,0.33,687.9,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:05,0,LTK,0,5.6,0,9.21,-127.2,0.2,0.2,-0.3,-1.22,-2.12,-5.94,25.117,689.7,688.1,0.33,688,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:07,0,LTK,0,5.6,0,9.21,-127.2,0.2,0.2,-0.3,-1.22,-2.13,-5.97,25.118,689.7,688.1,0.33,688,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:09,0,LTK,0,5.6,0,9.21,-127.3,0.1,0.1,-0.31,-1.25,-2.12,-5.94,25.119,689.7,688.1,0.33,688,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:11,0,LTK,0,5.6,0,9.21,-127.3,0,0,-0.32,-1.27,-2.12,-5.94,25.12,689.7,688.1,0.33,688,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:13,0,LTK,0,5.6,0,9.21,-127.3,0,0,-0.32,-1.3,-2.11,-5.92,25.121,689.7,688.1,0.33,688,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:15,0,LTK,0,5.6,0,9.21,-127.3,-0.1,-0.1,-0.32,-1.27,-2.11,-5.9,25.121,689.8,688.2,0.33,688.1,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:17,0,LTK,0,5.6,0,9.21,-127.3,-0.1,-0.1,-0.31,-1.25,-2.1,-5.88,25.122,689.8,688.2,0.33,688,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:19,0,LTK,0,5.6,0,9.21,-127.3,-0.2,-0.2,-0.31,-1.24,-2.11,-5.9,25.123,689.8,688.2,0.33,688,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:21,0,LTK,0,5.6,0,9.21,-127.3,-0.3,-0.3,-0.32,-1.28,-2.1,-5.89,25.124,689.9,688.2,0.33,688.1,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:23,0,LTK,0,5.6,0,9.21,-127.3,-0.3,-0.3,-0.33,-1.31,-2.11,-5.9,25.125,689.9,688.3,0.33,688.1,447,7.8,0.64,-1.674,-1.18
3/4/2016,13:16:25,0,LTK,0,5.6,0,9.21,-127.3,-0.4,-0.4,-0.32,-1.3,-2.1,-5.89,25.127,689.9,688.2,0.33,688.1,447,7.8,0.64,-1.673,-1.18
3/4/2016,13:16:27,0,LTK,0,5.6,0,9.21,-127.3,-0.4,-0.4,-0.33,-1.32,-2.11,-5.92,25.128,689.9,688.2,0.33,688.1,447,7.8,0.64,-1.673,-1.18
3/4/2016,13:16:29,0,LTK,0,5.6,0,9.21,-127.3,-0.5,-0.5,-0.33,-1.33,-2.11,-5.92,25.129,689.9,688.2,0.33,688,447,7.8,0.64,-1.673,-1.18
3/4/2016,13:16:31,0,LTK,0,5.6,0,9.21,-127.3,-0.6,-0.6,-0.33,-1.31,-2.13,-5.96,25.13,689.9,688.2,0.33,688,447,7.8,0.64,-1.673,-1.18
