KOR Export File,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
File Created:7/28/2016 11:16:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonde ID,Sonde 15D101940,,,,,,,,,,,,,,,,,,,,,,,,,
User ID,profile,,,,,,,,,,,,,,,,,,,,,,,,,
Site,LTM,,,,,,,,,,,,,,,,,,,,,,,,,
Template,LTM,,,,,,,,,,,,,,,,,,,,,,,,,
Averaging Mode,Rapid,,,,,,,,,,,,,,,,,,,,,,,,,
Time Zone,(UTC+03:00) Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices List:,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,SN,Firmware,Corresponding Data Column(s),,,,,,,,,,,,,,,,,,,,,,,
Data Collection Device,,,1;2;3;4;5,,,,,,,,,,,,,,,,,,,,,,,
EXO2 Sonde,15D101940,1.0.12,6;7,,,,,,,,,,,,,,,,,,,,,,,
pH/ORP,15D101913,3.0.0,8;9;10;11,,,,,,,,,,,,,,,,,,,,,,,
Total Algae BGA-PC,15C104484,3.0.0,12;13;14;15,,,,,,,,,,,,,,,,,,,,,,,
Conductivity/Temp,15C104434,3.0.0,16;17;18;19;20;21,,,,,,,,,,,,,,,,,,,,,,,
Optical DO,15C105023,3.0.0,22;23,,,,,,,,,,,,,,,,,,,,,,,
Turbidity,15E100285,3.0.0,24;25,,,,,,,,,,,,,,,,,,,,,,,
Depth Non-Vented 0-100m,15D101235,3.0.0,26;27,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,pH,pH mV,ORP mV,ORP raw mV,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,ODO % sat,ODO mg/L,Turbidity FNU,TSS mg/L,Press psi a,Depth m
7/28/2016,11:12:42,0,LTM,0,5.2,0,8.15,-103.5,-61.3,-61.3,0.3,1.2,-0.15,-0.42,25.614,8.8,8.7,0,8.7,6,102.2,8.35,12.33,99,-1.329,-0.937
7/28/2016,11:12:44,0,LTM,0,5,0,8.14,-103,-60.5,-60.5,0.26,1.05,0.02,0.06,25.621,8.4,8.3,0,8.3,5,102.2,8.35,12.29,99,-1.328,-0.937
7/28/2016,11:12:46,0,LTM,0,5,0,8.11,-101.3,-62.1,-62.1,0.33,1.3,-0.05,-0.13,25.581,8.2,8.1,0,8.1,5,102.2,8.35,12.25,98,-1.329,-0.937
7/28/2016,11:12:48,0,LTM,0,5,0,8.14,-102.9,-60.4,-60.4,0.21,0.85,-0.1,-0.28,25.571,8.3,8.2,0,8.2,5,102.2,8.36,12.31,99,-1.328,-0.937
7/28/2016,11:12:50,0,LTM,0,5,0,8.09,-100,-60.4,-60.4,0.33,1.33,0.06,0.17,25.553,8.1,8,0,8,5,102.2,8.36,12.1,96,-1.328,-0.937
7/28/2016,11:12:52,0,LTM,0,5,0,8.06,-98.6,-61.4,-61.4,0.29,1.16,0.04,0.11,25.517,9.7,9.6,0,9.6,6,102.2,8.37,11.9,93,-1.329,-0.937
7/28/2016,11:12:54,0,LTM,0,5,0,7.98,-94,-63.5,-63.5,0.61,2.43,-0.01,-0.02,25.453,10.8,10.7,0,10.7,7,102,8.36,11.7,90,-1.33,-0.938
7/28/2016,11:12:56,0,LTM,0,5,0,9.01,-150.5,-100.2,-100.2,0.99,3.96,0.43,1.21,25.44,462.6,459.1,0.22,458.8,298,101.9,8.36,2.79,6,-1.291,-0.91
7/28/2016,11:12:58,0,LTM,0,5,0,9.23,-163.1,-95.8,-95.8,-0.31,-1.23,-2.08,-5.83,26.075,677,663.3,0.32,661.9,431,101.6,8.26,-1.05,0,2.692,1.899
7/28/2016,11:13:00,0,LTM,0,5,0,9.24,-163.5,-93.7,-93.7,-0.35,-1.42,-2.13,-5.96,26.009,681.4,668.5,0.32,667.2,435,101.3,8.2,-0.94,0,5.315,3.748
7/28/2016,11:13:02,0,LTM,0,5,0,9.24,-163.4,-90.5,-90.5,-0.27,-1.08,-2.11,-5.91,26.003,681.6,668.8,0.32,667.5,435,101.2,8.19,-0.88,0,10.229,7.213
7/28/2016,11:13:04,0,LTM,0,5.1,0,9.23,-163,-88.3,-88.3,-0.3,-1.2,-2.07,-5.79,25.996,681.4,668.7,0.32,667.4,435,100.8,8.16,-0.88,0,12.622,8.901
7/28/2016,11:13:06,0,LTM,0,5.1,0,9.23,-162.8,-87,-87,-0.25,-0.99,-2.19,-6.13,25.998,681.7,669,0.32,667.6,435,100.4,8.13,-0.78,0,17.611,12.419
7/28/2016,11:13:08,0,LTM,0,5.1,0,9.22,-162.5,-86.1,-86.1,-0.25,-1.02,-2.11,-5.92,25.991,681.7,669.1,0.32,667.7,435,100,8.1,-0.75,0,21.215,14.96
7/28/2016,11:13:10,0,LTM,0,5.1,0,9.22,-162.4,-85.4,-85.4,-0.24,-0.95,-2.13,-5.96,25.989,681.7,669,0.32,667.7,435,99.7,8.08,-0.9,0,25.05,17.664
7/28/2016,11:13:12,0,LTM,0,5.1,0,9.21,-162.1,-84.9,-84.9,-0.25,-0.99,-2.06,-5.76,25.983,681.7,669.1,0.32,667.8,435,99.5,8.06,-0.84,0,28.388,20.018
7/28/2016,11:13:14,0,LTM,0,5.1,0,9.21,-161.9,-84.4,-84.4,-0.2,-0.78,-2.06,-5.77,25.985,681.7,669.1,0.32,667.8,435,99.2,8.04,-0.85,0,28.766,20.284
7/28/2016,11:13:16,0,LTM,0,5.1,0,9.21,-161.7,-84,-84,-0.32,-1.27,-2.12,-5.94,25.986,681.8,669.2,0.32,667.9,435,99.2,8.04,-0.84,0,28.588,20.159
7/28/2016,11:13:18,0,LTM,0,5.1,0,9.2,-161.6,-83.7,-83.7,-0.23,-0.91,-2.08,-5.82,25.983,681.7,669.2,0.32,667.8,435,99.1,8.03,-0.87,0,31.257,22.041
7/28/2016,11:13:20,0,LTM,0,5.1,0,9.2,-161.4,-83.4,-83.4,-0.2,-0.81,-2.13,-5.97,25.98,681.8,669.3,0.32,668,435,98.9,8.01,-0.85,0,32.576,22.971
7/28/2016,11:13:22,0,LTM,0,5.1,0,9.2,-161.2,-83.2,-83.2,-0.27,-1.09,-2.09,-5.85,25.982,681.7,669.1,0.32,667.8,435,98.7,8,-0.83,0,32.887,23.19
7/28/2016,11:13:24,0,LTM,0,5.1,0,9.2,-161.1,-82.9,-82.9,-0.25,-1.02,-2.14,-5.99,25.98,681.7,669.2,0.32,667.9,435,98.5,7.98,-0.77,0,34.243,24.147
7/28/2016,11:13:26,0,LTM,0,5.1,0,9.19,-161,-82.8,-82.8,-0.23,-0.92,-2.19,-6.13,25.981,681.7,669.2,0.32,667.9,435,98.3,7.97,-0.79,0,37.323,26.318
7/28/2016,11:13:28,0,LTM,0,5.1,0,9.19,-160.8,-82.6,-82.6,-0.29,-1.15,-2.11,-5.92,25.981,681.7,669.2,0.32,667.8,435,98.1,7.94,-0.83,0,39.132,27.594
7/28/2016,11:13:30,0,LTM,0,5.1,0,9.19,-160.6,-82.5,-82.5,-0.22,-0.87,-2.13,-5.96,25.981,681.8,669.3,0.32,667.9,435,97.9,7.93,-0.84,0,39.397,27.781
7/28/2016,11:13:32,0,LTM,0,5.1,0,9.18,-160.5,-82.3,-82.3,-0.23,-0.92,-2.06,-5.77,25.98,681.8,669.2,0.32,667.9,435,97.8,7.92,-0.91,0,40.575,28.612
7/28/2016,11:13:34,0,LTM,0,5.1,0,9.18,-160.4,-82.2,-82.2,-0.27,-1.1,-2.07,-5.8,25.979,681.8,669.3,0.32,668,435,97.5,7.9,-0.84,0,42.606,30.043
7/28/2016,11:13:36,0,LTM,0,5.1,0,9.18,-160.2,-82.1,-82.1,-0.29,-1.17,-2.1,-5.87,25.98,681.7,669.2,0.32,667.9,435,97.4,7.89,-0.78,0,46.001,32.437
7/28/2016,11:13:38,0,LTM,0,5.1,0,9.18,-160.1,-82,-82,-0.24,-0.95,-2.1,-5.89,25.98,681.9,669.3,0.32,668,435,97.2,7.87,-0.92,0,48.111,33.925
7/28/2016,11:13:40,0,LTM,0,5.1,0,9.17,-160,-81.8,-81.8,-0.23,-0.93,-2.16,-6.05,25.98,681.9,669.4,0.32,668,435,97.1,7.86,-0.92,0,49.386,34.824
7/28/2016,11:13:42,0,LTM,0,5.1,0,9.17,-159.8,-81.7,-81.7,-0.26,-1.02,-2.04,-5.7,25.979,681.8,669.3,0.32,668,435,96.9,7.85,-0.75,0,51.422,36.259
7/28/2016,11:13:44,0,LTM,0,5.1,0,9.17,-159.7,-81.7,-81.7,-0.25,-0.99,-2.07,-5.8,25.976,681.7,669.3,0.32,668,435,96.7,7.84,-0.89,0,53.033,37.395
